A1S_0049+	A1S_0049.VFG037853_gi_126640162_.Acinetobacter_baumannii_ATCC_17978	ACICU_00071.VFG037852_gi_184156391_.Acinetobacter_baumannii_ACICU	BJAB07104_00087.VFG037855_gi_523521474_.Acinetobacter_baumannii_BJAB07104	BJAB0868_00088.VFG037857_gi_523525384_.Acinetobacter_baumannii_BJAB0868	ptk.VFG037861_gi_169632080_.Acinetobacter_baumannii_SDF	wzc.VFG037858_gi_469820231_.Acinetobacter_baumannii_D1279779
A1S_0050+	A1S_0050.VFG037868_gi_126640163_.Acinetobacter_baumannii_ATCC_17978	BJAB07104_00088.VFG037870_gi_523521475_.Acinetobacter_baumannii_BJAB07104	wzb.VFG037873_gi_469820232_.Acinetobacter_baumannii_D1279779
A1S_0052	A1S_0052.VFG037898_gi_126640165_.Acinetobacter_baumannii_ATCC_17978
A1S_0053	A1S_0053.VFG037913_gi_126640166_.Acinetobacter_baumannii_ATCC_17978
A1S_0054	A1S_0054.VFG037928_gi_126640167_.Acinetobacter_baumannii_ATCC_17978
A1S_0055	A1S_0055.VFG037943_gi_126640168_.Acinetobacter_baumannii_ATCC_17978
A1S_0056	A1S_0056.VFG037958_gi_126640169_.Acinetobacter_baumannii_ATCC_17978
A1S_0057	A1S_0057.VFG037973_gi_126640170_.Acinetobacter_baumannii_ATCC_17978
A1S_0058	A1S_0058.VFG037988_gi_126640171_.Acinetobacter_baumannii_ATCC_17978
A1S_0059	A1S_0059.VFG038003_gi_126640172_.Acinetobacter_baumannii_ATCC_17978
A1S_0060	A1S_0060.VFG038018_gi_126640173_.Acinetobacter_baumannii_ATCC_17978
A1S_0061+	A1S_0061.VFG038033_gi_126640174_.Acinetobacter_baumannii_ATCC_17978	ABK1_0099.VFG038103_gi_384130059_.Acinetobacter_baumannii_1656_2	ABSDF0078.VFG038086_gi_169632095_.Acinetobacter_baumannii_SDF	ABTW07_0095.VFG038101_gi_385235645_.Acinetobacter_baumannii_TCDC_AB0715	ACICU_00087.VFG038091_gi_184156407_.Acinetobacter_baumannii_ACICU	BJAB0868_00105.VFG038110_gi_523525401_.Acinetobacter_baumannii_BJAB0868
A1S_0063+	A1S_0063.VFG038063_gi_126640176_.Acinetobacter_baumannii_ATCC_17978	ABK1_0101.VFG038130_gi_384130061_.Acinetobacter_baumannii_1656_2	ABSDF0080.VFG038114_gi_169632097_.Acinetobacter_baumannii_SDF	ABTW07_0097.VFG038128_gi_385235647_.Acinetobacter_baumannii_TCDC_AB0715	ACICU_00089.VFG038119_gi_184156409_.Acinetobacter_baumannii_ACICU	BJAB07104_00103.VFG038094_gi_523521490_.Acinetobacter_baumannii_BJAB07104	M3Q_299.VFG038129_gi_407930983_.Acinetobacter_baumannii_TYTH_1
